Phage_ID,Host,Lifestyle,Phage_source,Protein_source,Start,Stop,Protein_ID,Product
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,4434.0,4790.0,SAMEA1906539_a1_ct6715_vs1_4,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,4953.0,5186.0,SAMEA1906539_a1_ct6715_vs1_6,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,5208.0,5765.0,SAMEA1906539_a1_ct6715_vs1_7,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,9663.0,10094.0,SAMEA1906539_a1_ct6715_vs1_13,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,13025.0,15523.0,SAMEA1906539_a1_ct6715_vs1_16,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,15514.0,15828.0,SAMEA1906539_a1_ct6715_vs1_17,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,16650.0,16877.0,SAMEA1906539_a1_ct6715_vs1_19,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,19081.0,19446.0,SAMEA1906539_a1_ct6715_vs1_24,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,19465.0,19665.0,SAMEA1906539_a1_ct6715_vs1_25,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,19960.0,20568.0,SAMEA1906539_a1_ct6715_vs1_26,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,21197.0,22303.0,SAMEA1906539_a1_ct6715_vs1_28,hypothetical protein
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,22306.0,22635.0,SAMEA1906539_a1_ct6715_vs1_29,hypothetical protein
SAMEA2579928_a1_ct2918_vs1,Pseudomonas,temperate,CHVD,prodigal,12201.0,12521.0,SAMEA2579928_a1_ct2918_vs1_21,hypothetical protein
SAMEA2579928_a1_ct2918_vs1,Pseudomonas,temperate,CHVD,prodigal,12511.0,12717.0,SAMEA2579928_a1_ct2918_vs1_22,hypothetical protein
SAMEA2579928_a1_ct2918_vs1,Pseudomonas,temperate,CHVD,prodigal,13131.0,13784.0,SAMEA2579928_a1_ct2918_vs1_24,hypothetical protein
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,7726.0,8616.0,SAMEA2737694_a1_ct157942_vs1_7,hypothetical protein
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,17826.0,18011.0,SAMEA2737694_a1_ct157942_vs1_25,hypothetical protein
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,19850.0,20191.0,SAMEA2737694_a1_ct157942_vs1_29,hypothetical protein
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,26565.0,26807.0,SAMEA2737694_a1_ct157942_vs1_37,hypothetical protein
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,33448.0,33759.0,SAMEA2737694_a1_ct157942_vs1_45,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,51.0,476.0,BAG74985.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,4098.0,4442.0,BAG74988.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,4452.0,4670.0,BAG74989.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,6054.0,7058.0,BAG74991.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,7055.0,7429.0,BAG74992.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,8331.0,9158.0,BAG74995.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,9109.0,9723.0,BAG74996.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,9716.0,10162.0,BAG74997.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,10162.0,10533.0,BAG74998.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,11225.0,11587.0,BAG75000.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,11665.0,11901.0,BAG75001.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,14682.0,15146.0,BAG75003.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,15143.0,15631.0,BAG75004.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,15636.0,16043.0,BAG75005.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,16015.0,18744.0,BAG75006.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,22971.0,23831.0,BAG75009.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,24107.0,24541.0,BAG75010.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,25302.0,25670.0,BAG75012.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,25667.0,25930.0,BAG75013.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,25966.0,26229.0,BAG75014.1,hypothetical protein
