Cluster_Representative,Protein,Cluster_Annotation,Information_Level
AAF80766.1,AAF80766.1,Transposase,High
AAF80766.1,IMGVR_UViG_2507262021_000002|2507262021|2507273743_65,Transposase,High
AAF80766.1,AEX55965.1,Transposase,High
AAF80766.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_59,Transposase,High
AAF80832.1,AAF80832.1,Transcriptional regulator,High
AAF80832.1,IMGVR_UViG_2507262021_000002|2507262021|2507273743_48,Transcriptional regulator,High
AAF80832.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_48,Transcriptional regulator,High
AAF80832.1,AEX55948.1,Transcriptional regulator,High
AAF80832.1,TemPhD_cluster_10902_34,Transcriptional regulator,High
AAF80832.1,AAF80832.1,Transcriptional regulator,High
AAF80832.1,IMGVR_UViG_2507262021_000002|2507262021|2507273743_48,Transcriptional regulator,High
AAF80832.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_48,Transcriptional regulator,High
AAF80832.1,AEX55948.1,Transcriptional regulator,High
AAF80832.1,TemPhD_cluster_10902_34,Transcriptional regulator,High
AAQ13927.1,AAQ13927.1,partition protein ATPase,High
AAQ13927.1,IMGVR_UViG_2571042854_000003|2571042854|2571152703_37,partition protein ATPase,High
AAQ13927.1,AFR52216.1,partition protein ATPase,High
AAQ13931.1,AAQ13931.1,Mu Gam-like end protection,High
AAQ13934.1,AAQ13934.1,tail fiber protein,High
ABW23085.1,ABW23085.1,Acetyltransferase,High
ABW23085.1,CEF89886.1,Acetyltransferase,High
ABY70977.1,ABY70977.1,50S ribosomal protein L19,High
ABY70977.1,AFX93677.1,50S ribosomal protein L19,High
ABY70977.1,CAX63124.1,50S ribosomal protein L19,High
ABY70977.1,AFR52550.1,50S ribosomal protein L19,High
ABY70977.1,AIK67574.1,50S ribosomal protein L19,High
ABY70977.1,ABW23089.1,50S ribosomal protein L19,High
ABY70977.1,CAP45480.1,50S ribosomal protein L19,High
ABY70977.1,CAK25943.1,50S ribosomal protein L19,High
ACA57658.1,ACA57658.1,host nuclease inhibitor,High
ACA57658.1,NP_938221.1,host nuclease inhibitor,High
ACA57658.1,CEF89942.1,host nuclease inhibitor,High
ACA57658.1,ACA57710.1,host nuclease inhibitor,High
ACA57658.1,CCD58425.1,host nuclease inhibitor,High
ACA57658.1,YP_950437.1,host nuclease inhibitor,High
ACA57661.1,ACA57661.1,Conjugal transfer protein TraD,High
ACA57661.1,CCD58428.1,Conjugal transfer protein TraD,High
ACA57661.1,ADU15510.1,Conjugal transfer protein TraD,High
ACA57661.1,AIM40301.1,Conjugal transfer protein TraD,High
ACA57661.1,IMGVR_UViG_2507262024_000002|2507262024|2507276176_40,Conjugal transfer protein TraD,High
ACA57661.1,CEF89947.1,Conjugal transfer protein TraD,High
ACA57661.1,AEY99412.1,Conjugal transfer protein TraD,High
ACA57680.1,ACA57680.1,Hdf-like antirestriction,High
ACA57680.1,CCD58450.1,Hdf-like antirestriction,High
ACA57680.1,ADU15532.1,Hdf-like antirestriction,High
ACA57680.1,AII21863.1,Hdf-like antirestriction,High
ADD64982.1,ADD64982.1,DarB-like antirestriction,High
ADD64982.1,YP_009186917.1,DarB-like antirestriction,High
ADD64982.1,ADF58251.1,DarB-like antirestriction,High
ADD64982.1,AEK21565.1,DarB-like antirestriction,High
ADD64982.1,CEF89342.1,DarB-like antirestriction,High
ADD65010.1,ADD65010.1,Head decoration,High
ADD65010.1,ADF58225.1,Head decoration,High
ADD65015.1,ADD65015.1,tail sheath,High
ADD65015.1,ADF58220.1,tail sheath,High
ADD65015.1,AGR89306.1,tail sheath,High
ADD65015.1,YP_009186948.1,tail sheath,High
ADD65082.1,ADD65082.1,DNA polymerase/primase,High
ADD65082.1,YP_009224825.1,DNA polymerase/primase,High
ADD65082.1,AEK21659.1,DNA polymerase/primase,High
ADD65082.1,AGR89204.1,DNA polymerase/primase,High
ADD650841,ADD650841,virion structural protein,High
ADE05835.1,ADE05835.1,endonuclease VII,High
ADE05835.1,AEX55878.1,endonuclease VII,High
ADE05835.1,IMGVR_UViG_2507262021_000002|2507262021|2507273743_74,endonuclease VII,High
ADE05835.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_67,endonuclease VII,High
ADF29319.1,ADF29319.1,endonuclease VII,High
ADF29319.1,YP_009967008.1,endonuclease VII,High
ADF29319.1,BAM 37022.10,endonuclease VII,High
ADF29319.1,CAR31176.1,endonuclease VII,High
ADF29319.1,AFD10610.1,endonuclease VII,High
ADF29319.1,CAR31267.1,endonuclease VII,High
ADF29319.1,AHH02950.1,endonuclease VII,High
ADF29319.1,YP_002455955.1,endonuclease VII,High
ADF58149.1,ADF58149.1,anti-restriction protein,High
ADF58149.1,AEK21661.1,anti-restriction protein,High
ADF58149.1,YP_009200075.1,anti-restriction protein,High
ADF58152.1,ADF58152.1,HNH endonuclease,High
ADF58152.1,AEK21656.1,HNH endonuclease,High
ADF58152.1,CEF89062.1,HNH endonuclease,High
ADF58152.1,AGR89379.1,HNH endonuclease,High
ADF58168.1,ADF58168.1,Uncharacterized protein,Low
ADF58168.1,AGR89185.1,Uncharacterized protein,Low
ADF58168.1,CEF89428.1,Uncharacterized protein,Low
ADF58168.1,AGR89361.1,Uncharacterized protein,Low
ADF58168.1,YP_009224807.1,Uncharacterized protein,Low
ADF58172.1,ADF58172.1,late sigma transcription factor,High
ADF58172.1,CEF89424.1,late sigma transcription factor,High
ADF58172.1,YP_009224803.1,late sigma transcription factor,High
ADF58172.1,CEF89040.1,late sigma transcription factor,High
ADF58172.1,AGR89357.1,late sigma transcription factor,High
ADF58172.1,ADD65062.1,late sigma transcription factor,High
ADF58231.1,ADF58231.1,tail length tape measure protein,High
ADF58231.1,YP_009224741.1,tail length tape measure protein,High
ADF58231.1,ADD65004.1,tail length tape measure protein,High
ADF58233.1,ADF58233.1,internal virion protein,High
ADF58233.1,AEK21582.1,internal virion protein,High
ADF58233.1,ADD65001.1,internal virion protein,High
ADF58241.1,ADF58241.1,DarB-like antirestriction,High
ADF58241.1,YP_009224730.1,DarB-like antirestriction,High
ADF58241.1,AGR89456.1,DarB-like antirestriction,High
ADU15525.1,ADU15525.1,holin,High
ADU15525.1,AGZ17224.1,holin,High
ADU15525.1,AFQ21832.1,holin,High
ADU15525.1,AEY99407.1,holin,High
ADX32060.1,ADX32060.1,single strand DNA binding protein,High
ADX32060.1,AGR89524.1,single strand DNA binding protein,High
ADX32060.1,BAJ09169.1,single strand DNA binding protein,High
ADX32060.1,CEF89590.1,single strand DNA binding protein,High
ADX32062.1,ADX32062.1,Portal protein,High
ADX32062.1,AGR89010.1,Portal protein,High
ADX32062.1,CEF89592.1,Portal protein,High
ADX32069.1,ADX32069.1,transposase,High
ADX32069.1,AGR89016.1,transposase,High
ADX32069.1,CEF89598.1,transposase,High
ADX32109.1,ADX32109.1,tail length tape measure protein,High
ADX32109.1,YP_009206105.1,tail length tape measure protein,High
ADX32109.1,AGR89049.1,tail length tape measure protein,High
ADX32109.1,BAJ09208.1,tail length tape measure protein,High
ADX32109.1,AGR89565.1,tail length tape measure protein,High
AEC53255.1,AEC53255.1,integrase,High
AEC53255.1,AGR89232.1,integrase,High
AEC53255.1,AEK21684.1,integrase,High
AEC53255.1,CEF89476.1,integrase,High
AEC53255.1,AGR89407.1,integrase,High
AEC53255.1,AGS81711.1,integrase,High
AEC53255.1,BAJ09211.1,integrase,High
AEC53255.1,ADD65107.1,integrase,High
AEK21578.1,AEK21578.1,MazG-like pyrophosphatase,High
AEK21578.1,YP_009186931.1,MazG-like pyrophosphatase,High
AEK21578.1,ADD64997.1,MazG-like pyrophosphatase,High
AEK21578.1,AGR89461.1,MazG-like pyrophosphatase,High
AEK21580.1,AEK21580.1,head maturation protease,High
AEK21580.1,AGR89288.1,head maturation protease,High
AEK21580.1,YP_009186933.1,head maturation protease,High
AEK21580.1,YP_009224736.1,head maturation protease,High
AEK21580.1,ADD64999.1,head maturation protease,High
AEK21580.1,ADF58235.1,head maturation protease,High
AEK21647.1,AEK21647.1,portal protein,High
AEK21647.1,ADF58161.1,portal protein,High
AEK21660.1,AEK21660.1,transglycosylase,High
AEK21660.1,ADD65083.1,transglycosylase,High
AEK21660.1,ADF58150.1,transglycosylase,High
AEK21660.1,CCM43668.1,transglycosylase,High
AEK21660.1,AGR89382.1,transglycosylase,High
AEK21660.1,AGR89205.1,transglycosylase,High
AEK21660.1,CEF89449.1,transglycosylase,High
AEK21679.1,AEK21679.1,endolysin,High
AEK21681.1,AEK21681.1,internal virion protein,High
AEK21681.1,AGR89230.1,internal virion protein,High
AEK21681.1,ADF58285.1,internal virion protein,High
AEK21681.1,AGR89405.1,internal virion protein,High
AEK21681.1,CEF89473.1,internal virion protein,High
AEK21681.1,YP_009187046.1,internal virion protein,High
AEK21681.1,YP_009200098.1,internal virion protein,High
AEK21681.1,YP_009224848.1,internal virion protein,High
AEK21681.1,ADD65104.1,internal virion protein,High
AEK21682.1,AEK21682.1,endolysin,High
AEK21682.1,AGR89231.1,endolysin,High
AEK21682.1,ADF58284.1,endolysin,High
AEK21682.1,AGR89406.1,endolysin,High
AEK21682.1,YP_009187047.1,endolysin,High
AEK21682.1,YP_009200099.1,endolysin,High
AEK21682.1,YP_009224849.1,endolysin,High
AEK21682.1,ADD65105.1,endolysin,High
AEK21685.1,AEK21685.1,DNA binding protein,High
AEX55810.1,AEX55810.1,dATP / dGTP pyrophosphohydrolase,High
AEX55844.1,AEX55844.1,homing endonuclease with GIY-YIG motif,High
AEX55844.1,AFQ22043.1,homing endonuclease with GIY-YIG motif,High
AEX55844.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_40,homing endonuclease with GIY-YIG motif,High
AEX55911.1,AEX55911.1,ParB-like partition protein,High
AEX55911.1,YP_009187425.1,ParB-like partition protein,High
AEX55911.1,CEQ38297.1,ParB-like partition protein,High
AEX55911.1,YP_009273687.1,ParB-like partition protein,High
AEX55911.1,AAF80817.1,ParB-like partition protein,High
AEX55920.1,AEX55920.1,head-tail adaptor,High
AEX55920.1,BAG75029.1,head-tail adaptor,High
AEX55920.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_17,head-tail adaptor,High
AEX55920.1,IMGVR_UViG_2579778822_000002|2579778822|2579820951_66,head-tail adaptor,High
AEX55920.1,ADE05847.1,head-tail adaptor,High
AEX55921.1,AEX55921.1,replication initiation protein,High
AEX55921.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_18,replication initiation protein,High
AEX55921.1,AAF80806.1,replication initiation protein,High
AEX55921.1,AAF80807.1,replication initiation protein,High
AEX55930.1,AEX55930.1,DNA repair exonuclease,High
AEX55930.1,IMGVR_UViG_2579778953_000002|2579778953|2579834327_62,DNA repair exonuclease,High
AEX55930.1,AEX55807.1,DNA repair exonuclease,High
AEX55930.1,IMGVR_UViG_2619619278_000004|2619619278|2619687484_9,DNA repair exonuclease,High
AEX55939.1,AEX55939.1,virion structural protein,High
AEX65847.1,AEX65847.1,TetR family transcriptional regulator,High
AEX65854.1,AEX65854.1,baseplate hub subunit and tail lysozyme,High
AEY99462.1,AEY99462.1,50S ribosomal protein L29,High
AEY99462.1,YP_009273642.1,50S ribosomal protein L29,High
AEY99462.1,ADU15508.1,50S ribosomal protein L29,High
AEY99462.1,IMGVR_UViG_2540341042_000004|2540341042|2540346462_16,50S ribosomal protein L29,High
AEY99462.1,AEY99404.1,50S ribosomal protein L29,High
AEY99471.1,AEY99471.1,Regulatory protein GemA,High
AEY99471.1,AHV82273.1,Regulatory protein GemA,High
AEY99471.1,AFQ21988.1,Regulatory protein GemA,High
AEY99471.1,ACA57662.1,Regulatory protein GemA,High
AEY99471.1,AEY99413.1,Regulatory protein GemA,High
AEY99471.1,AFQ21875.1,Regulatory protein GemA,High
AFB83317.1,AFB83317.1,Four helix bundle protein,High
AFB83317.1,YP_001293435.1,Four helix bundle protein,High
AFB83336.1,AFB83336.1,anti-repressor Ant,High
AFB83336.1,YP_001293450.1,anti-repressor Ant,High
AFB83336.1,YP_009205641.1,anti-repressor Ant,High
AFB83346.1,AFB83346.1,2OG-Fe(II) oxygenase,High
AFB83346.1,CDN96813.1,2OG-Fe(II) oxygenase,High
AFE86443.1,AFE86443.1,GNAT family N-acetyltransferase,High
AFE86443.1,IMGVR_UViG_2540341042_000004|2540341042|2540346462_13,GNAT family N-acetyltransferase,High
AFE86443.1,AII21890.1,GNAT family N-acetyltransferase,High
AFD10702.1,AFD10702.1,ADP-ribosyltransferase exoenzyme toxin,High
AFD10702.1,CDI06805.1,ADP-ribosyltransferase exoenzyme toxin,High
AFD10702.1,CAP45447.1,ADP-ribosyltransferase exoenzyme toxin,High
AFD10702.1,AHB30146.1,ADP-ribosyltransferase exoenzyme toxin,High
AFD10702.1,AJD82743.1,ADP-ribosyltransferase exoenzyme toxin,High
AFE86443.1,AFE86443.1,excisionase and transcriptional regulator,High
AFE86443.1,IMGVR_UViG_2540341042_000004|2540341042|2540346462_13,excisionase and transcriptional regulator,High
AFE86443.1,AII21890.1,excisionase and transcriptional regulator,High
AFN 39574,AFN 39574,nucleoside 2-deoxyribosyltransferase,High
AFN 39574,CAO77758.1,nucleoside 2-deoxyribosyltransferase,High
