Phage_ID,Host,Lifestyle,Phage_source,Protein_source,Protein_ID,Product,Length
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,SAMEA1906539_a1_ct6715_vs1_5,unknown,63.0
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,SAMEA1906539_a1_ct6715_vs1_11,unknown,203.0
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,SAMEA1906539_a1_ct6715_vs1_20,unknown,40.0
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,SAMEA1906539_a1_ct6715_vs1_23,unknown,126.0
SAMEA1906539_a1_ct6715_vs1,Pseudomonas,virulent,CHVD,prodigal,SAMEA1906539_a1_ct6715_vs1_30,unknown,30.0
SAMEA2579928_a1_ct2918_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2579928_a1_ct2918_vs1_25,unknown,80.0
SAMEA2579928_a1_ct2918_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2579928_a1_ct2918_vs1_34,Protein of unknown function (DUF2633),75.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_3,Protein of unknown function (DUF1064),225.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_5,Protein of unknown function (DUF3102),329.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_6,unknown,184.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_8,unknown,73.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_9,unknown,121.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_10,unknown,79.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_11,unknown,69.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_12,unknown,131.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_13,unknown,102.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_14,unknown,95.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_15,unknown,72.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_16,unknown,57.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_17,unknown,199.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_18,unknown,143.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_23,unknown,134.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_27,unknown,117.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_28,unknown,111.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_30,unknown,218.0
